Year,Group title case,Total,Percent
1896,Manufacturing,7728,35%
1896,Retail Trade,6861,31%
1896,"Professional, Scientific And Technical Services",4915,22%
1896,Wholesale Trade,2973,13%
1896,Accommodation And Food Services,1227,5%
1896,Construction,1032,5%
1896,"Transport, Postal And Warehousing",840,4%
1896,Education And Training,767,3%
1896,Health Care And Social Assistance,759,3%
1896,Other Services,756,3%
1896,"Rental, Hiring And Real Estate Services",456,2%
1896,Financial And Insurance Services,436,2%
1896,"Agriculture, Forestry And Fishing",370,2%
1896,Information Media And Telecommunications,278,1%
1896,Mining,278,1%
1896,Arts And Recreation Services,207,<1%
1896,Administrative And Support Services,186,<1%
1896,"Electricity, Gas, Water And Waste Services",0,<1%
1896,Public Administration And Safety,0,<1%
1905,Accommodation And Food Services,3074,6%
1905,Administrative And Support Services,211,<1%
1905,"Agriculture, Forestry And Fishing",705,1%
1905,Arts And Recreation Services,494,<1%
1905,Construction,1519,3%
1905,Education And Training,1710,3%
1905,"Electricity, Gas, Water And Waste Services",50,<1%
1905,Financial And Insurance Services,1362,3%
1905,Health Care And Social Assistance,1920,4%
1905,Information Media And Telecommunications,605,1%
1905,Manufacturing,14285,26%
1905,Mining,346,<1%
1905,Other Services,1603,3%
1905,"Professional, Scientific And Technical Services",7179,13%
1905,Public Administration And Safety,7,<1%
1905,"Rental, Hiring And Real Estate Services",1350,2%
1905,Retail Trade,12518,23%
1905,"Transport, Postal And Warehousing",873,2%
1905,Wholesale Trade,4266,8%
1915,Accommodation And Food Services,3417,6%
1915,Administrative And Support Services,151,<1%
1915,"Agriculture, Forestry And Fishing",519,<1%
1915,Arts And Recreation Services,707,1%
1915,Construction,3168,5%
1915,Education And Training,1860,3%
1915,"Electricity, Gas, Water And Waste Services",81,<1%
1915,Financial And Insurance Services,562,<1%
1915,Health Care And Social Assistance,3730,6%
1915,Information Media And Telecommunications,579,<1%
1915,Manufacturing,16579,28%
1915,Mining,680,1%
1915,Other Services,1089,2%
1915,"Professional, Scientific And Technical Services",7298,12%
1915,Public Administration And Safety,12,<1%
1915,"Rental, Hiring And Real Estate Services",1064,2%
1915,Retail Trade,13413,23%
1915,"Transport, Postal And Warehousing",834,1%
1915,Wholesale Trade,3083,5%
1925,Accommodation And Food Services,2642,4%
1925,Administrative And Support Services,105,<1%
1925,"Agriculture, Forestry And Fishing",692,1%
1925,Arts And Recreation Services,687,1%
1925,Construction,2889,5%
1925,Education And Training,2010,3%
1925,"Electricity, Gas, Water And Waste Services",85,<1%
1925,Financial And Insurance Services,630,<1%
1925,Health Care And Social Assistance,3500,5%
1925,Information Media And Telecommunications,248,<1%
1925,Manufacturing,16155,25%
1925,Mining,328,<1%
1925,Other Services,1881,3%
1925,"Professional, Scientific And Technical Services",7138,11%
1925,Public Administration And Safety,8,<1%
1925,"Rental, Hiring And Real Estate Services",2660,4%
1925,Retail Trade,18643,29%
1925,"Transport, Postal And Warehousing",1639,3%
1925,Wholesale Trade,2106,3%
1935,Accommodation And Food Services,2686,4%
1935,Administrative And Support Services,128,<1%
1935,"Agriculture, Forestry And Fishing",297,<1%
1935,Arts And Recreation Services,639,1%
1935,Construction,2044,3%
1935,Education And Training,1278,2%
1935,"Electricity, Gas, Water And Waste Services",82,<1%
1935,Financial And Insurance Services,562,1%
1935,Health Care And Social Assistance,4473,7%
1935,Information Media And Telecommunications,455,<1%
1935,Manufacturing,16574,27%
1935,Mining,45,<1%
1935,Other Services,3400,6%
1935,"Professional, Scientific And Technical Services",7352,12%
1935,Public Administration And Safety,1,<1%
